Date,Message,ID,Reply_to,Merged_Message,Crowd Level,Direction,Crowd Level new,Direction new,Comparison
14/5/2025 11:57,Ohh Thats nice Hopefully sgporeans are able to use it as well with this new implementation Cause not everyone go in via the same mode of transport and method So will be good they do this so still can use e gate across all different transport mode,147649,147646,Confirm new gates have been installed at Malaysian Immigration at Woodlands Checkpoint I caught a glimpse while on the return trip Ohh Thats nice Hopefully sgporeans are able to use it as well with this new implementation Cause not everyone go in via the same mode of transport and method So will be good they do this so still can use e gate across all different transport mode,High,Not related,High,Singapore to Malaysia,Same
14/5/2025 11:42,But i think the return trip may need to use the same  We saw some going to the manual counter as the egates queues were longer they were asked to go to the egates,147647,-1,But i think the return trip may need to use the same  We saw some going to the manual counter as the egates queues were longer they were asked to go to the egates,High,Malaysia to Singapore,High,Singapore to Malaysia,Same
14/5/2025 10:01,Queue for 170X has reached d end of d station,147625,-1,Queue for 170X has reached d end of d station,High,Singapore to Malaysia,High,Not related,Same
13/5/2025 22:31,Yes It is very unsafe as mentioned by the other person as well Not recommended ,147571,147538,"I know the walking path from SG to JB Take the staircase down at Woodlands CIQ and walk till JB side Then need to cross 1 motorocyle lane 1 car lane and 1 bus lane to reach JB CIQ

Im talking about the walking path from JB to SG The pedestrian lane is only at one side of the bridge located along the road heading to JB from SG

So from JB to SG need to walk on the bus road until reach the bridge and then cross both incoming and and outgoing traffic basically going from one end of the bridge to another to go to the side where is a pedestrian walkway Am I right Yes It is very unsafe as mentioned by the other person as well Not recommended ",Not related,Not related,Not related,Not related,Same
13/5/2025 21:16,long waiting time for 160170,147562,147561,jb to sg jam long waiting time for 160170,High,Not related,Not related,Not related,Different
13/5/2025 18:50,"I know the walking path from SG to JB Take the staircase down at Woodlands CIQ and walk till JB side Then need to cross 1 motorocyle lane 1 car lane and 1 bus lane to reach JB CIQ

Im talking about the walking path from JB to SG The pedestrian lane is only at one side of the bridge located along the road heading to JB from SG

So from JB to SG need to walk on the bus road until reach the bridge and then cross both incoming and and outgoing traffic basically going from one end of the bridge to another to go to the side where is a pedestrian walkway Am I right",147538,147536,"Possible Yes
Safe No
The path is on the side of the causeway towards JB Either way you have to cross a few lanes just to access the path or get to JB So it is not recommended unless the traffic is at a standstill I know the walking path from SG to JB Take the staircase down at Woodlands CIQ and walk till JB side Then need to cross 1 motorocyle lane 1 car lane and 1 bus lane to reach JB CIQ

Im talking about the walking path from JB to SG The pedestrian lane is only at one side of the bridge located along the road heading to JB from SG

So from JB to SG need to walk on the bus road until reach the bridge and then cross both incoming and and outgoing traffic basically going from one end of the bridge to another to go to the side where is a pedestrian walkway Am I right",High,Not related,High,Malaysia to Singapore,Same
13/5/2025 17:47,Yes please always keep in mind the motorcycles are full speed at all times,147519,147518,Strongly encouraged to take bus if not experienced  Yes please always keep in mind the motorcycles are full speed at all times,Medium,Not related,Not related,Not related,Different
13/5/2025 11:27,Considerable amount of people sgJB but things are moving,147473,-1,Considerable amount of people sgJB but things are moving,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
13/5/2025 10:56,"Smooth 
1040 Woodlands Causeway
1056 Cleared JB customs",147470,-1,"Smooth 
1040 Woodlands Causeway
1056 Cleared JB customs",Low,Malaysia to Singapore,High,Malaysia to Singapore,Different
13/5/2025 0:00,"Jbsg
CIQ nobody
170 quite fast Not long q",147410,-1,"Jbsg
CIQ nobody
170 quite fast Not long q",High,Singapore to Malaysia,High,Not related,Same
12/5/2025 23:39,"Ciq not much people que for 170 just a bit quite fast

Reach sg immigration use qr code quite fast",147409,-1,"Ciq not much people que for 170 just a bit quite fast

Reach sg immigration use qr code quite fast",High,Singapore to Malaysia,Low,Not related,Different
12/5/2025 22:48,Bus line shortened alrd A lot of sbs buses came so queue moved very fast,147404,-1,Bus line shortened alrd A lot of sbs buses came so queue moved very fast,High,Singapore to Malaysia,Low,Not related,Different
12/5/2025 22:04,Any bus queue from jb to sg,147399,-1,Any bus queue from jb to sg,High,Singapore to Malaysia,Low,Malaysia to Singapore,Different
12/5/2025 21:47,Still very jam in CIQ bus area No need to wait and camp here till everything is clear Likely jam till 12am Leave JB now if need to work tomorrow,147393,-1,Still very jam in CIQ bus area No need to wait and camp here till everything is clear Likely jam till 12am Leave JB now if need to work tomorrow,High,Malaysia to Singapore,High,Malaysia to Singapore,Same
12/5/2025 21:31,The sbs bus queue have 3 lines and it is still long,147384,147382, The sbs bus queue have 3 lines and it is still long,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
12/5/2025 21:29,JB to SG no q for immigration CW standing q until immigration counter opposite side  SG to JB counter,147383,-1,JB to SG no q for immigration CW standing q until immigration counter opposite side  SG to JB counter,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
12/5/2025 21:10,Anyone know the jam now til where,147371,-1,Anyone know the jam now til where,High,Not related,High,Not related,Same
12/5/2025 21:09,Super jam,147370,147367,Mat i check the jam from ciq to jb Super jam,High,Not related,High,Not related,Same
12/5/2025 20:54,Jam max,147361,-1,Jam max,High,Not related,High,Not related,Same
12/5/2025 20:50,Worried 11pm the jam situation will be still the same But thanks for the suggestion ,147358,147355,go eat something and come back after 11pm Worried 11pm the jam situation will be still the same But thanks for the suggestion ,High,Not related,High,Not related,Same
12/5/2025 20:47,go eat something and come back after 11pm,147355,147352,Im stuck at woodland now Wondering should uturn to 2nd link But seem tuas also is jam go eat something and come back after 11pm,Not related,Not related,Not related,Not related,Same
12/5/2025 20:38,It took me just 10 minutes to get down from the queuing upstairs to get the bus successfully,147353,-1,It took me just 10 minutes to get down from the queuing upstairs to get the bus successfully,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
12/5/2025 20:36,Im stuck at woodland now Wondering should uturn to 2nd link But seem tuas also is jam,147352,-1,Im stuck at woodland now Wondering should uturn to 2nd link But seem tuas also is jam,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
12/5/2025 20:34,The queue is shorter and the queue is cleared faster,147345,-1,The queue is shorter and the queue is cleared faster,High,Singapore to Malaysia,Low,Not related,Different
12/5/2025 20:32,cw bus more faster,147343,-1,cw bus more faster,High,Not related,Low,Singapore to Malaysia,Different
12/5/2025 20:25,Wait for 160170 bus super long,147340,-1,Wait for 160170 bus super long,High,Not related,High,Singapore to Malaysia,Same
12/5/2025 20:23,Jb to sg bus 950 wait 10 mins  reach n clear SG 10 mins,147338,-1,Jb to sg bus 950 wait 10 mins  reach n clear SG 10 mins,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
12/5/2025 20:11,JB  SG bus Q crowded but depending on which bus u want to take 950 still ok,147326,-1,JB  SG bus Q crowded but depending on which bus u want to take 950 still ok,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
12/5/2025 20:03,Very full Long queue,147324,-1,Very full Long queue,High,Singapore to Malaysia,High,Not related,Same
12/5/2025 19:38,jbsg fast q boarded bus in 10mins,147316,-1,jbsg fast q boarded bus in 10mins,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
12/5/2025 19:36,I also walked So weird that the queues for buses were so long but roads were clear,147313,147303, I also walked So weird that the queues for buses were so long but roads were clear,High,Not related,High,Not related,Same
12/5/2025 19:28,170160 bus queue until near egate from JB to sg,147307,-1,170160 bus queue until near egate from JB to sg,High,Singapore to Malaysia,Low,Malaysia to Singapore,Different
12/5/2025 19:27,"jb  sg
approx 20mins queue frm autogate to sbs bus",147306,-1,"jb  sg
approx 20mins queue frm autogate to sbs bus",High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
12/5/2025 19:11,jb to sg bus q from autogate but sbs lane move quickly  1520mins,147299,-1,jb to sg bus q from autogate but sbs lane move quickly  1520mins,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
12/5/2025 18:42,Super bus jam from Jb to woodlands,147291,-1,Super bus jam from Jb to woodlands,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
12/5/2025 18:30,"Situation at 540pm
CW queue till lvl 2 waiting area

SBS queue from staircase to lvl 2 waiting area loop back to staircase 

Waiting area  after the scanning area where pple usually wait for their friends
U shd be able to see the queue when otw to clear custom

End up walking back
A lot of pple also walking back",147283,-1,"Situation at 540pm
CW queue till lvl 2 waiting area

SBS queue from staircase to lvl 2 waiting area loop back to staircase 

Waiting area  after the scanning area where pple usually wait for their friends
U shd be able to see the queue when otw to clear custom

End up walking back
A lot of pple also walking back",High,Singapore to Malaysia,High,Malaysia to Singapore,Same
12/5/2025 17:57,Yesssssss,147273,147268,Is jb to sg custom jam now  Yesssssss,Not related,Not related,Not related,Not related,Same
12/5/2025 17:22,410pm enter queue just left sg custom,147265,-1,410pm enter queue just left sg custom,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
12/5/2025 17:22,Almost 15h since joining 170 queue and still not at the front CW may be better option,147264,-1,Almost 15h since joining 170 queue and still not at the front CW may be better option,High,Not related,High,Singapore to Malaysia,Same
12/5/2025 17:05,"One hour since I join queue still not inside 170 yet so just take note

Considering that if you join now maybe will take 90 mins or so",147258,-1,"One hour since I join queue still not inside 170 yet so just take note

Considering that if you join now maybe will take 90 mins or so",High,Not related,High,Malaysia to Singapore,Same
12/5/2025 16:53,1 hour Walk from city square and reach kranji mrt,147250,-1,1 hour Walk from city square and reach kranji mrt,Not related,Not related,Low,Not related,Different
12/5/2025 16:18,Are there blues bus currently available from JB to SG,147232,-1,Are there blues bus currently available from JB to SG,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
12/5/2025 15:58,Bus queue for 170170X about 30mins wait,147223,-1,Bus queue for 170170X about 30mins wait,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
12/5/2025 15:38,Jbsg bus starting to build up Queue for bus is long and started snaking giving opportunities for queue jumpers but moving,147216,-1,Jbsg bus starting to build up Queue for bus is long and started snaking giving opportunities for queue jumpers but moving,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
12/5/2025 15:30,160170170x950 queue is also building  up,147215,-1,160170170x950 queue is also building  up,High,Singapore to Malaysia,High,Not related,Same
12/5/2025 15:24,Cw bus to SG super long Q,147213,-1,Cw bus to SG super long Q,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
12/5/2025 15:20,Very Jialat,147209,147208,Jb back to sg bus queue very pack Very Jialat,High,Not related,High,Not related,Same
12/5/2025 15:19,Jb back to sg bus queue very pack,147208,-1,Jb back to sg bus queue very pack,High,Malaysia to Singapore,High,Singapore to Malaysia,Same
12/5/2025 15:17,Cleared both sides from JB  SG in 30 minutes,147207,-1,Cleared both sides from JB  SG in 30 minutes,Low,Singapore to Malaysia,Low,Singapore to Malaysia,Same
12/5/2025 15:13,Is 950 shorter queue ,147206,-1,Is 950 shorter queue ,Low,Not related,Not related,Not related,Different
12/5/2025 15:12,Queue for CW1 from woodlands CIQ to Kranji is very short Can take instantly after crossing immigration,147205,-1,Queue for CW1 from woodlands CIQ to Kranji is very short Can take instantly after crossing immigration,Low,Singapore to Malaysia,Low,Singapore to Malaysia,Same
12/5/2025 15:10,Jb to sg bus platform basically full,147203,-1,Jb to sg bus platform basically full,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
12/5/2025 14:50,"JB to SG
Queue is building up expect to spend at least 15 min in queue for CW bus at JB side",147195,-1,"JB to SG
Queue is building up expect to spend at least 15 min in queue for CW bus at JB side",High,Singapore to Malaysia,High,Singapore to Malaysia,Same
12/5/2025 13:55,coming in super fast though practically no queue,147177,147171, coming in super fast though practically no queue,low,Malaysia to Singapore,Low,Not related,Same
12/5/2025 13:55,going bck to sg CW buses look quite jam starting snake queue,147176,-1,going bck to sg CW buses look quite jam starting snake queue,High,Malaysia to Singapore,High,Singapore to Malaysia,Same
12/5/2025 12:59,Overall traffic is smooth maybe less than 15mins for me,147162,-1,Overall traffic is smooth maybe less than 15mins for me,low,Not related,Low,Not related,Same
12/5/2025 12:43,Saw lot of Singaporeans coming out Driving here Smooth traffic but saw buses stuck,147157,-1,Saw lot of Singaporeans coming out Driving here Smooth traffic but saw buses stuck,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
12/5/2025 11:58,Sg to jb bus via woodlands super smooth,147151,-1,Sg to jb bus via woodlands super smooth,Low,Singapore to Malaysia,Low,Singapore to Malaysia,Same
12/5/2025 10:59,Thx,147136,147134,Within 30 min from sg to jb Thx,Not related,Not related,Not related,Not related,Same
12/5/2025 10:53,Within 30 min from sg to jb,147134,-1,Within 30 min from sg to jb,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
12/5/2025 10:52,No Jam Smooth traffic flow,147133,147131,Sg to JB ok No Jam Smooth traffic flow,Low,Malaysia to Singapore,Low,Not related,Same
12/5/2025 9:37,"Planning to cross back to sg around 1pm will it be bad Hahaha 

First time going jb over long weekend not sure what to expect tbh",147119,-1,"Planning to cross back to sg around 1pm will it be bad Hahaha 

First time going jb over long weekend not sure what to expect tbh",High,Not related,High,Singapore to Malaysia,Same
12/5/2025 9:33,egate no queue the other counters have less than 10 queuing,147117,-1,egate no queue the other counters have less than 10 queuing,High,Not related,Low,Not related,Different
12/5/2025 9:32,907 reach kranji mrt just cleared msia checkpoint,147116,-1,907 reach kranji mrt just cleared msia checkpoint,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
12/5/2025 9:32,smooth like butter,147115,147112,Sg to jb smooth also  smooth like butter,Low,Not related,Low,Not related,Same
12/5/2025 9:09,Sg to jb smooth also ,147112,-1,Sg to jb smooth also ,Low,Malaysia to Singapore,Low,Singapore to Malaysia,Same
12/5/2025 9:07,"JB to SG
Smooth",147108,-1,"JB to SG
Smooth",Low,Not related,Low,Singapore to Malaysia,Same
12/5/2025 0:22,No queue,147035,-1,No queue,Low,Malaysia to Singapore,Low,Not related,Same
11/5/2025 23:47,Custom was clear but queue for bus is long,147025,-1,Custom was clear but queue for bus is long,High,Not related,High,Malaysia to Singapore,Same
11/5/2025 22:42,Human traffic is extremely bad Super long queues at both the SBS and CW bus queue,147009,-1,Human traffic is extremely bad Super long queues at both the SBS and CW bus queue,High,Singapore to Malaysia,High,Not related,Same
11/5/2025 22:41,busier than usual long queue for buses,147008,-1,busier than usual long queue for buses,High,Singapore to Malaysia,High,Not related,Same
11/5/2025 22:18,human bus,146998,146988,human bus or car traffic human bus,Low,Not related,Low,Not related,Same
11/5/2025 21:52,JbSg Via woodlands super jam,146980,-1,JbSg Via woodlands super jam,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
11/5/2025 20:50,Thanks for the information Bro,146962,146960,quite long but moving Thanks for the information Bro,Not related,Not related,Not related,Not related,Same
11/5/2025 20:45,quite long but moving,146960,146956,Means long queue quite long but moving,High,Not related,High,Not related,Same
11/5/2025 20:39,Means long queue,146956,146954,JB custom to SG including waiting for bus cw witin 30mins Means long queue,High,Singapore to Malaysia,High,Not related,Same
11/5/2025 20:18,JB custom to SG including waiting for bus cw witin 30mins,146954,-1,JB custom to SG including waiting for bus cw witin 30mins,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
11/5/2025 20:14,Jb to Sg pls private cars,146953,-1,Jb to Sg pls private cars,High,Singapore to Malaysia,Low,Malaysia to Singapore,Different
11/5/2025 19:24,"JB  SG 
All bus very smooth",146932,-1,"JB  SG 
All bus very smooth",High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
11/5/2025 19:15,"JB  SG
Custom very smooth cleared within seconds",146930,-1,"JB  SG
Custom very smooth cleared within seconds",Low,Not related,Low,Singapore to Malaysia,Same
11/5/2025 18:25,"jb  sg smooth 
cleared both sides under 30mins",146910,-1,"jb  sg smooth 
cleared both sides under 30mins",Medium,Not related,Low,Singapore to Malaysia,Different
11/5/2025 18:11,bus situation for jb  sg pls,146907,-1,bus situation for jb  sg pls,High,Not related,Low,Singapore to Malaysia,Different
11/5/2025 16:39,sgjb very smooth,146886,-1,sgjb very smooth,Low,Singapore to Malaysia,Low,Not related,Same
11/5/2025 15:38,nice ,146881,146880,JB  SG smooth nice ,Not related,Not related,Not related,Not related,Same
11/5/2025 15:23,JB  SG smooth,146880,-1,JB  SG smooth,Low,Not related,Low,Singapore to Malaysia,Same
11/5/2025 15:19,5min queue for each immigration,146879,-1,5min queue for each immigration,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
11/5/2025 15:16,Jb Taxi stand jam price approx 3x from non peak But buses are smooth,146877,-1,Jb Taxi stand jam price approx 3x from non peak But buses are smooth,High,Malaysia to Singapore,Low,Singapore to Malaysia,Different
11/5/2025 14:58,By CW and SBS buses  all not long queue,146869,-1,By CW and SBS buses  all not long queue,High,Singapore to Malaysia,High,Not related,Same
11/5/2025 14:31,bus is smooth sg to jb,146865,-1,bus is smooth sg to jb,Medium,Singapore to Malaysia,Low,Singapore to Malaysia,Different
11/5/2025 14:31,no queue,146864,-1,no queue,Low,Malaysia to Singapore,Low,Not related,Same
11/5/2025 14:01,CW long queue SG  JB also ,146858,-1,CW long queue SG  JB also ,High,Singapore to Malaysia,High,Not related,Same
11/5/2025 13:56,kranji no q at cw,146857,-1,kranji no q at cw,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
11/5/2025 13:34,No queue at woodland custom bus queue to Jb,146847,-1,No queue at woodland custom bus queue to Jb,High,Singapore to Malaysia,Low,Malaysia to Singapore,Different
11/5/2025 13:27,tuas,146845,-1,tuas,Not related,Not related,Low,Not related,Different
11/5/2025 13:18,No queue at kranji for 170x,146843,-1,No queue at kranji for 170x,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
11/5/2025 13:06,The bus queue at the customs from customs to JB very fast was able to get onto a bus within 15 mins,146836,-1,The bus queue at the customs from customs to JB very fast was able to get onto a bus within 15 mins,High,Malaysia to Singapore,Low,Singapore to Malaysia,Different
11/5/2025 12:40,Quite smooth I took CW bus,146820,-1,Quite smooth I took CW bus,Low,Not related,Low,Singapore to Malaysia,Same
11/5/2025 12:37,Okay thank u,146817,146804,Normally wont jam Okay thank u,Low,Not related,Not related,Not related,Different
11/5/2025 12:31,"Jb custom manual counter long Q
Gate short queue",146815,-1,"Jb custom manual counter long Q
Gate short queue",High,Malaysia to Singapore,High,Not related,Same
11/5/2025 12:31,"Sbs long queue 
Cw not really long
Private 2 bus no queue",146814,-1,"Sbs long queue 
Cw not really long
Private 2 bus no queue",High,Singapore to Malaysia,High,Not related,Same
11/5/2025 11:45,bus if take CW can clear whole line in 10mins frm sg to CIQ,146798,-1,bus if take CW can clear whole line in 10mins frm sg to CIQ,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
11/5/2025 11:39,Bus q,146794,-1,Bus q,High,Not related,Low,Not related,Different
11/5/2025 11:33,Ah yes the 2nd day of long weekend jam has started,146792,146791,Customs fast bus jam very serious until top of stairs Ah yes the 2nd day of long weekend jam has started,High,Singapore to Malaysia,High,Not related,Same
11/5/2025 11:20,Customs fast bus jam very serious until top of stairs,146791,-1,Customs fast bus jam very serious until top of stairs,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
11/5/2025 10:58,Please take note no unauthorised photos in the checkpoints  Admin S,146777,146749,SG bus q Please take note no unauthorised photos in the checkpoints  Admin S,High,Not related,Low,Not related,Different
11/5/2025 10:49,sg to jb sbs bus queue is full at the stairs,146770,-1,sg to jb sbs bus queue is full at the stairs,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
11/5/2025 10:41,Bus Q is alright keeping moving,146764,-1,Bus Q is alright keeping moving,Medium,Not related,Low,Singapore to Malaysia,Different
11/5/2025 10:40,Total time from woodlands bus to jb clear E gate 30 mins,146762,-1,Total time from woodlands bus to jb clear E gate 30 mins,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
11/5/2025 10:16,Bus q at woodlands SG to JB crowded starts from stairs,146751,-1,Bus q at woodlands SG to JB crowded starts from stairs,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
11/5/2025 10:16,SG bus q,146749,-1,SG bus q,High,Singapore to Malaysia,Low,Not related,Different
11/5/2025 10:15,Any long queue at bugis cw,146748,-1,Any long queue at bugis cw,High,Singapore to Malaysia,High,Not related,Same
11/5/2025 10:14,No  thats the manual q,146747,-1,No  thats the manual q,High,Not related,Low,Not related,Different
11/5/2025 9:41,JB CIQ crowded,146727,-1,JB CIQ crowded,High,Singapore to Malaysia,High,Not related,Same
11/5/2025 9:25,queue for sbs bus havent reach till staircase yet so still ok ,146717,-1,queue for sbs bus havent reach till staircase yet so still ok ,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
11/5/2025 9:24,Almost 30 mins later its still the same,146715,146709,170x from kranji mrt queue v long stretching to the back courtyard area Almost 30 mins later its still the same,High,Not related,High,Not related,Same
11/5/2025 9:02,170x from kranji mrt queue v long stretching to the back courtyard area,146709,-1,170x from kranji mrt queue v long stretching to the back courtyard area,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
11/5/2025 8:39,SG to JB smooth,146705,-1,SG to JB smooth,Low,Malaysia to Singapore,Low,Singapore to Malaysia,Same
11/5/2025 8:22,tq,146698,146697,Long now tq,Not related,Not related,Low,Not related,Different
11/5/2025 8:21,queue now at sg custom,146696,146692,SG custom bus queue crowded queue now at sg custom,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
11/5/2025 7:57,Crowded at woodlands customs compared to a normal Sunday morning but bus q relatively short cos of frequent buses,146684,-1,Crowded at woodlands customs compared to a normal Sunday morning but bus q relatively short cos of frequent buses,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
11/5/2025 7:54,Kranji queue is very short,146683,-1,Kranji queue is very short,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
11/5/2025 7:49,Jam for cars ,146682,-1,Jam for cars ,High,Not related,High,Not related,Same
11/5/2025 7:46,Private cars fast so far very few on queue,146680,-1,Private cars fast so far very few on queue,Medium,Malaysia to Singapore,Low,Singapore to Malaysia,Different
11/5/2025 7:45,SG Customs bus starting to Q abit,146679,-1,SG Customs bus starting to Q abit,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
10/5/2025 22:54,jb to sg fast,146611,-1,jb to sg fast,High,Singapore to Malaysia,Low,Not related,Different
10/5/2025 21:49,Cleared Msia and SgP custom very fast,146594,-1,Cleared Msia and SgP custom very fast,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
10/5/2025 21:48,Coming back to sgp very clear,146591,-1,Coming back to sgp very clear,Low,Malaysia to Singapore,Low,Singapore to Malaysia,Same
10/5/2025 20:43,Msia custom smooth  JB to SG,146580,146567,jb to sg anyone Msia custom smooth  JB to SG,High,Malaysia to Singapore,High,Malaysia to Singapore,Same
10/5/2025 18:09,3d2n whack,146546,146544,The bus Q at spore custom v long 3d2n whack,High,Not related,Not related,Not related,Different
10/5/2025 17:54,The bus Q at spore custom v long,146544,-1,The bus Q at spore custom v long,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
10/5/2025 16:19,SGp 15 mins can clear,146524,-1,SGp 15 mins can clear,Low,Singapore to Malaysia,Low,Singapore to Malaysia,Same
10/5/2025 16:15,Sg to jb bus queue,146521,-1,Sg to jb bus queue,High,Singapore to Malaysia,Low,Singapore to Malaysia,Different
10/5/2025 15:55,Bus crowded dont come,146518,-1,Bus crowded dont come,High,Not related,High,Not related,Same
10/5/2025 15:02,Sgjb 45mins clear,146502,-1,Sgjb 45mins clear,High,Singapore to Malaysia,High,Not related,Same
10/5/2025 14:54,Half hour SG to Jb,146499,-1,Half hour SG to Jb,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
10/5/2025 14:53,SG custom 10,146496,-1,SG custom 10,High,Not related,Low,Not related,Different
10/5/2025 14:49,Oh Tku bro,146494,146492,Immigration Long Queue Oh Tku bro,High,Not related,Not related,Not related,Different
10/5/2025 14:25,Ica Cw bus long² Q but buses coming constantly  Very good,146483,-1,Ica Cw bus long² Q but buses coming constantly  Very good,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
10/5/2025 14:20,50mins from kranji 170x first bus to bus over to jb,146480,-1,50mins from kranji 170x first bus to bus over to jb,High,Singapore to Malaysia,High,Malaysia to Singapore,Same
10/5/2025 14:20,sg custom quite crowded scanning gates laggy,146479,-1,sg custom quite crowded scanning gates laggy,High,Singapore to Malaysia,High,Singapore to Malaysia,Same
10/5/2025 13:57,Qs bus q pls,146472,-1,Qs bus q pls,High,Not related,Low,Not related,Different
10/5/2025 13:53,Q moving fast All ok,146467,146464,SG immigration hall is full now Q moving fast All ok,Low,Not related,Low,Not related,Same
